file,n_haps,BIC
Inference_10_1234.out,10,10725.9
Inference_10_2345.out,10,11563.8
Inference_10_3456.out,10,11004.5
Inference_10_4567.out,10,11462.3
Inference_10_5678.out,10,12267.9
Inference_11_1234.out,11,11430.5
Inference_11_2345.out,11,11234.8
Inference_11_3456.out,11,10944.3
Inference_11_4567.out,11,10808
Inference_11_5678.out,11,10575.6
Inference_12_1234.out,12,10941.7
Inference_12_2345.out,12,10611.7
Inference_12_3456.out,12,10262.1
Inference_12_4567.out,12,10105.6
Inference_12_5678.out,12,11411.3
Inference_13_1234.out,13,11784.8
Inference_13_2345.out,13,9898.87
Inference_13_3456.out,13,11456.1
Inference_13_4567.out,13,10807.2
Inference_13_5678.out,13,10328.6
Inference_14_1234.out,14,10228.8
Inference_14_2345.out,14,10325.2
Inference_14_3456.out,14,10120.6
Inference_14_4567.out,14,11532.9
Inference_14_5678.out,14,9647.19
Inference_15_1234.out,15,11535.5
Inference_15_2345.out,15,11012.8
Inference_15_3456.out,15,10579.3
Inference_15_4567.out,15,10355.6
Inference_15_5678.out,15,9836.18
Inference_16_1234.out,16,9905.72
Inference_16_2345.out,16,11200.5
Inference_16_3456.out,16,10978.7
Inference_16_4567.out,16,10193.8
Inference_16_5678.out,16,15072.4
Inference_17_1234.out,17,10262.9
Inference_17_2345.out,17,10330.2
Inference_17_3456.out,17,10599.8
Inference_17_4567.out,17,12179.8
Inference_17_5678.out,17,10431.1
Inference_18_1234.out,18,10682.2
Inference_18_2345.out,18,9834.3
Inference_18_3456.out,18,10159.4
Inference_18_4567.out,18,9841.03
Inference_18_5678.out,18,9871.58
Inference_19_1234.out,19,9768.54
Inference_19_2345.out,19,10799.6
Inference_19_3456.out,19,10025.9
Inference_19_4567.out,19,9797.57
Inference_19_5678.out,19,9626.84
Inference_20_1234.out,20,10592.8
Inference_20_2345.out,20,14188.2
Inference_20_3456.out,20,11651.8
Inference_20_4567.out,20,9664.07
Inference_20_5678.out,20,13493.7
Inference_21_1234.out,21,10667.3
Inference_21_2345.out,21,10101
Inference_21_3456.out,21,9677.86
Inference_21_4567.out,21,12805.5
Inference_21_5678.out,21,10441
Inference_22_1234.out,22,11183.4
Inference_22_2345.out,22,9917.57
Inference_22_3456.out,22,9937.48
Inference_22_4567.out,22,10408.8
Inference_22_5678.out,22,10525
Inference_23_1234.out,23,12092.7
Inference_23_2345.out,23,10832.3
Inference_23_3456.out,23,11078.9
Inference_23_4567.out,23,12248
Inference_23_5678.out,23,9568.21
Inference_24_1234.out,24,12437.8
Inference_24_2345.out,24,11904.5
Inference_24_3456.out,24,12031.9
Inference_24_4567.out,24,10262.4
Inference_24_5678.out,24,10445.7
Inference_25_1234.out,25,13270.4
Inference_25_2345.out,25,12784.1
Inference_25_3456.out,25,10228.3
Inference_25_4567.out,25,16490.3
Inference_25_5678.out,25,11168.2
Inference_26_1234.out,26,10599
Inference_26_2345.out,26,13187.8
Inference_26_3456.out,26,13943.4
Inference_26_4567.out,26,11638.4
Inference_26_5678.out,26,10116
Inference_27_1234.out,27,14737.1
Inference_27_2345.out,27,12617.4
Inference_27_3456.out,27,18218.7
Inference_27_4567.out,27,13268.5
Inference_27_5678.out,27,10748.7
Inference_28_1234.out,28,19229.1
Inference_28_2345.out,28,10892.6
Inference_28_3456.out,28,12400.8
Inference_28_4567.out,28,11193.5
Inference_28_5678.out,28,19528
Inference_29_1234.out,29,13131.6
Inference_29_2345.out,29,12785.9
Inference_29_3456.out,29,20878.4
Inference_29_4567.out,29,12251.3
Inference_29_5678.out,29,16671.7
Inference_30_1234.out,30,11248.7
Inference_30_2345.out,30,23665
Inference_30_3456.out,30,21743.1
Inference_30_4567.out,30,11635.8
Inference_30_5678.out,30,12029.9
Inference_4_1234.out,4,19059.6
Inference_4_2345.out,4,19059.6
Inference_4_3456.out,4,19059.6
Inference_4_4567.out,4,19059.6
Inference_4_5678.out,4,19059.6
Inference_5_1234.out,5,17137.7
Inference_5_2345.out,5,17133.6
Inference_5_3456.out,5,16250.9
Inference_5_4567.out,5,17204.2
Inference_5_5678.out,5,17137.6
Inference_6_1234.out,6,16042.8
Inference_6_2345.out,6,14977.8
Inference_6_3456.out,6,14290.2
Inference_6_4567.out,6,16137.9
Inference_6_5678.out,6,14290.2
Inference_7_1234.out,7,13278.8
Inference_7_2345.out,7,13633.8
Inference_7_3456.out,7,14366.2
Inference_7_4567.out,7,12642.3
Inference_7_5678.out,7,12793.3
Inference_8_1234.out,8,12503.7
Inference_8_2345.out,8,12793.8
Inference_8_3456.out,8,12168.9
Inference_8_4567.out,8,12616.5
Inference_8_5678.out,8,12030.4
Inference_9_1234.out,9,11187.6
Inference_9_2345.out,9,11955.1
Inference_9_3456.out,9,11543.6
Inference_9_4567.out,9,11012.1
Inference_9_5678.out,9,13314.8
