file,n_haps,BIC
Inference_22_1234.out,22,89765.5
Inference_22_2345.out,22,87197.8
Inference_22_3456.out,22,87815.4
Inference_22_4567.out,22,84260
Inference_22_5678.out,22,80610.5
Inference_23_1234.out,23,89296.2
Inference_23_2345.out,23,90267
Inference_23_3456.out,23,98006.8
Inference_23_4567.out,23,104843
Inference_23_5678.out,23,98866.4
Inference_24_1234.out,24,85652.7
Inference_24_2345.out,24,83938.1
Inference_24_3456.out,24,83877.4
Inference_24_4567.out,24,89275.8
Inference_24_5678.out,24,82107.5
Inference_25_1234.out,25,110655
Inference_25_2345.out,25,88437.7
Inference_25_3456.out,25,94076.3
Inference_25_4567.out,25,97516.3
Inference_25_5678.out,25,88203.6
Inference_26_1234.out,26,96914.7
Inference_26_2345.out,26,87935.4
Inference_26_3456.out,26,105508
Inference_26_4567.out,26,98295.4
Inference_26_5678.out,26,95677.2
Inference_27_1234.out,27,85390.1
Inference_27_2345.out,27,106547
Inference_27_3456.out,27,90617.5
Inference_27_4567.out,27,93447.6
Inference_27_5678.out,27,99386.9
Inference_28_1234.out,28,110748
Inference_28_2345.out,28,84090.7
Inference_28_3456.out,28,105418
Inference_28_4567.out,28,111759
Inference_28_5678.out,28,90067.5
Inference_29_1234.out,29,93965.9
Inference_29_2345.out,29,80099.7
Inference_29_3456.out,29,77350.2
Inference_29_4567.out,29,107814
Inference_29_5678.out,29,103110
Inference_30_1234.out,30,96905.6
Inference_30_2345.out,30,86224
Inference_30_3456.out,30,102857
Inference_30_4567.out,30,95747.1
Inference_30_5678.out,30,91176.5
