file,BIC
Inference_4_1234.out,114946
Inference_4_2345.out,127620
Inference_4_3456.out,107500
Inference_4_4567.out,100686
Inference_4_5678.out,104339
Inference_5_1234.out,103233
Inference_5_2345.out,94220.5
Inference_5_3456.out,109586
Inference_5_4567.out,113294
Inference_5_5678.out,89027.6
Inference_6_1234.out,85632.1
Inference_6_2345.out,92891.9
Inference_6_3456.out,93006.6
Inference_6_4567.out,95388.6
Inference_6_5678.out,90388.9
Inference_7_1234.out,85425.6
Inference_7_2345.out,93392.4
Inference_7_3456.out,88805.7
Inference_7_4567.out,85184.4
Inference_7_5678.out,91096.8
Inference_8_1234.out,91025.1
Inference_8_2345.out,91761.5
Inference_8_3456.out,106424
Inference_8_4567.out,89363.8
Inference_8_5678.out,121249
Inference_9_1234.out,84521.8
Inference_9_2345.out,100644
Inference_9_3456.out,114713
Inference_9_4567.out,85231.2
Inference_9_5678.out,90635.1
Inference_10_1234.out,81282.9
Inference_10_2345.out,89316.1
Inference_10_3456.out,111707
Inference_10_4567.out,90180.9
Inference_10_5678.out,79990.4
Inference_11_1234.out,104961
Inference_11_2345.out,83291.1
Inference_11_3456.out,81078.5
Inference_11_4567.out,78223.8
Inference_11_5678.out,79196.9
Inference_12_1234.out,86126
Inference_12_2345.out,85594.8
Inference_12_3456.out,116410
Inference_12_4567.out,89530.6
Inference_12_5678.out,83327.2
Inference_13_1234.out,92089.7
Inference_13_2345.out,84097.4
Inference_13_3456.out,91590.9
Inference_13_4567.out,87807.1
Inference_13_5678.out,85160.5
Inference_14_1234.out,93483.1
Inference_14_2345.out,87570.1
Inference_14_3456.out,92961.5
Inference_14_4567.out,92985.2
Inference_14_5678.out,96486.2
Inference_15_1234.out,81844
Inference_15_2345.out,107316
Inference_15_3456.out,82432.6
Inference_15_4567.out,114646
Inference_15_5678.out,85184.5
Inference_16_1234.out,95357.4
Inference_16_2345.out,87048.8
Inference_16_3456.out,89445.3
Inference_16_4567.out,74110.4
Inference_16_5678.out,82748.3
Inference_17_1234.out,113432
Inference_17_2345.out,90355.3
Inference_17_3456.out,90956.2
Inference_17_4567.out,86081.6
Inference_17_5678.out,77726.3
Inference_18_1234.out,84283.6
Inference_18_2345.out,83659
Inference_18_3456.out,91901.1
Inference_18_4567.out,74818.6
Inference_18_5678.out,99727.9
Inference_19_1234.out,83842.8
Inference_19_2345.out,81780.9
Inference_19_3456.out,86758.1
Inference_19_4567.out,86655.7
Inference_19_5678.out,82818.7
Inference_20_1234.out,83539.6
Inference_20_2345.out,81231.7
Inference_20_3456.out,78820.8
Inference_20_4567.out,104587
Inference_20_5678.out,102459
Inference_21_1234.out,92409.2
Inference_21_2345.out,84910.4
Inference_21_3456.out,105498
Inference_21_4567.out,108101
Inference_21_5678.out,80501.3
Inference_22_1234.out,89765.5
Inference_22_2345.out,87197.8
Inference_22_3456.out,87815.4
Inference_22_4567.out,84260
Inference_22_5678.out,80610.5
Inference_23_1234.out,89296.2
Inference_23_2345.out,90267
Inference_23_3456.out,98006.8
Inference_23_4567.out,104843
Inference_23_5678.out,98866.4
Inference_24_1234.out,85652.7
Inference_24_2345.out,83938.1
Inference_24_3456.out,83877.4
Inference_24_4567.out,89275.8
Inference_24_5678.out,82107.5
Inference_25_1234.out,110655
Inference_25_2345.out,88437.7
Inference_25_3456.out,94076.3
Inference_25_4567.out,97516.3
Inference_25_5678.out,88203.6
Inference_26_1234.out,96914.7
Inference_26_2345.out,87935.4
Inference_26_3456.out,105508
Inference_26_4567.out,98295.4
Inference_26_5678.out,95677.2
Inference_27_1234.out,85390.1
Inference_27_2345.out,106547
Inference_27_3456.out,90617.5
Inference_27_4567.out,93447.6
Inference_27_5678.out,99386.9
Inference_28_1234.out,110748
Inference_28_2345.out,84090.7
Inference_28_3456.out,105418
Inference_28_4567.out,111759
Inference_28_5678.out,90067.5
Inference_29_1234.out,93965.9
Inference_29_2345.out,80099.7
Inference_29_3456.out,77350.2
Inference_29_4567.out,107814
Inference_29_5678.out,103110
