file,n_haps,BIC
Inference_10_1234.out,10,26.0504
Inference_10_2345.out,10,26.0504
Inference_10_3456.out,10,26.0504
Inference_10_4567.out,10,26.0504
Inference_10_5678.out,10,26.0504
Inference_11_1234.out,11,26.1375
Inference_11_2345.out,11,26.1375
Inference_11_3456.out,11,26.1375
Inference_11_4567.out,11,26.1375
Inference_11_5678.out,11,26.1375
Inference_12_1234.out,12,26.2175
Inference_12_2345.out,12,26.2175
Inference_12_3456.out,12,26.2175
Inference_12_4567.out,12,26.2175
Inference_12_5678.out,12,26.2175
Inference_4_1234.out,4,25.262
Inference_4_2345.out,4,25.262
Inference_4_3456.out,4,25.262
Inference_4_4567.out,4,25.262
Inference_4_5678.out,4,25.262
Inference_5_1234.out,5,25.4443
Inference_5_2345.out,5,25.4443
Inference_5_3456.out,5,25.4443
Inference_5_4567.out,5,25.4443
Inference_5_5678.out,5,25.4443
Inference_6_1234.out,6,25.5984
Inference_6_2345.out,6,25.5984
Inference_6_3456.out,6,25.5984
Inference_6_4567.out,6,25.5984
Inference_6_5678.out,6,25.5984
Inference_7_1234.out,7,25.732
Inference_7_2345.out,7,25.732
Inference_7_3456.out,7,25.732
Inference_7_4567.out,7,25.732
Inference_7_5678.out,7,25.732
Inference_8_1234.out,8,25.8498
Inference_8_2345.out,8,25.8498
Inference_8_3456.out,8,25.8498
Inference_8_4567.out,8,25.8498
Inference_8_5678.out,8,25.8498
Inference_9_1234.out,9,25.9551
Inference_9_2345.out,9,25.9551
Inference_9_3456.out,9,25.9551
Inference_9_4567.out,9,25.9551
Inference_9_5678.out,9,25.9551
