file,n_haps,BIC
Inference_10_1234.out,10,45.4288
Inference_10_2345.out,10,45.4288
Inference_10_3456.out,10,45.4288
Inference_10_4567.out,10,45.4288
Inference_10_5678.out,10,45.4288
Inference_11_1234.out,11,45.5158
Inference_11_2345.out,11,45.5158
Inference_11_3456.out,11,45.5158
Inference_11_4567.out,11,45.5158
Inference_11_5678.out,11,45.5158
Inference_12_1234.out,12,45.5959
Inference_12_2345.out,12,45.5959
Inference_12_3456.out,12,45.5959
Inference_12_4567.out,12,45.5959
Inference_12_5678.out,12,45.5959
Inference_4_1234.out,4,47.5255
Inference_4_2345.out,4,47.5255
Inference_4_3456.out,4,47.5255
Inference_4_4567.out,4,47.5255
Inference_4_5678.out,4,47.5255
Inference_5_1234.out,5,44.8442
Inference_5_2345.out,5,44.8442
Inference_5_3456.out,5,44.8442
Inference_5_4567.out,5,44.8442
Inference_5_5678.out,5,44.8442
Inference_6_1234.out,6,44.9768
Inference_6_2345.out,6,44.9768
Inference_6_3456.out,6,44.9768
Inference_6_4567.out,6,44.9768
Inference_6_5678.out,6,44.9768
Inference_7_1234.out,7,45.1103
Inference_7_2345.out,7,45.1103
Inference_7_3456.out,7,45.1103
Inference_7_4567.out,7,45.1103
Inference_7_5678.out,7,45.1103
Inference_8_1234.out,8,45.2281
Inference_8_2345.out,8,45.2281
Inference_8_3456.out,8,45.2281
Inference_8_4567.out,8,45.2281
Inference_8_5678.out,8,45.2281
Inference_9_1234.out,9,45.3335
Inference_9_2345.out,9,45.3335
Inference_9_3456.out,9,45.3335
Inference_9_4567.out,9,45.3335
Inference_9_5678.out,9,45.3335
