file,n_haps,BIC
Inference_10_1234.out,10,209.806
Inference_10_2345.out,10,209.806
Inference_10_3456.out,10,209.806
Inference_10_4567.out,10,209.806
Inference_10_5678.out,10,209.806
Inference_11_1234.out,11,209.893
Inference_11_2345.out,11,209.893
Inference_11_3456.out,11,209.893
Inference_11_4567.out,11,209.893
Inference_11_5678.out,11,209.893
Inference_12_1234.out,12,209.973
Inference_12_2345.out,12,209.973
Inference_12_3456.out,12,209.973
Inference_12_4567.out,12,209.973
Inference_12_5678.out,12,209.973
Inference_13_1234.out,13,210.047
Inference_13_2345.out,13,210.047
Inference_13_3456.out,13,210.047
Inference_13_4567.out,13,210.047
Inference_13_5678.out,13,210.047
Inference_14_1234.out,14,210.116
Inference_14_2345.out,14,210.116
Inference_14_3456.out,14,210.116
Inference_14_4567.out,14,210.116
Inference_14_5678.out,14,210.116
Inference_15_1234.out,15,210.181
Inference_15_2345.out,15,210.181
Inference_15_3456.out,15,210.181
Inference_15_4567.out,15,210.181
Inference_15_5678.out,15,210.181
Inference_16_1234.out,16,210.241
Inference_16_2345.out,16,210.241
Inference_16_3456.out,16,210.241
Inference_16_4567.out,16,210.241
Inference_16_5678.out,16,210.241
Inference_17_1234.out,17,210.299
Inference_17_2345.out,17,210.299
Inference_17_3456.out,17,210.299
Inference_17_4567.out,17,210.299
Inference_17_5678.out,17,210.299
Inference_18_1234.out,18,210.353
Inference_18_2345.out,18,210.353
Inference_18_3456.out,18,210.353
Inference_18_4567.out,18,210.353
Inference_18_5678.out,18,210.353
Inference_19_1234.out,19,210.404
Inference_19_2345.out,19,210.404
Inference_19_3456.out,19,210.404
Inference_19_4567.out,19,210.404
Inference_19_5678.out,19,210.404
Inference_20_1234.out,20,210.453
Inference_20_2345.out,20,210.453
Inference_20_3456.out,20,210.453
Inference_20_4567.out,20,210.453
Inference_20_5678.out,20,210.453
Inference_21_1234.out,21,210.499
Inference_21_2345.out,21,210.499
Inference_21_3456.out,21,210.499
Inference_21_4567.out,21,210.499
Inference_21_5678.out,21,210.499
Inference_22_1234.out,22,210.544
Inference_22_2345.out,22,210.545
Inference_22_3456.out,22,210.544
Inference_22_4567.out,22,210.544
Inference_22_5678.out,22,210.548
Inference_23_1234.out,23,210.688
Inference_23_2345.out,23,218.765
Inference_23_3456.out,23,210.64
Inference_23_4567.out,23,210.59
Inference_23_5678.out,23,210.708
Inference_24_1234.out,24,550.202
Inference_24_2345.out,24,799.275
Inference_24_3456.out,24,339.579
Inference_24_4567.out,24,823.195
Inference_24_5678.out,24,411.468
Inference_4_1234.out,4,288.451
Inference_4_2345.out,4,288.451
Inference_4_3456.out,4,288.451
Inference_4_4567.out,4,288.451
Inference_4_5678.out,4,288.451
Inference_5_1234.out,5,213.057
Inference_5_2345.out,5,213.057
Inference_5_3456.out,5,213.057
Inference_5_4567.out,5,213.057
Inference_5_5678.out,5,213.057
Inference_6_1234.out,6,209.44
Inference_6_2345.out,6,209.44
Inference_6_3456.out,6,209.44
Inference_6_4567.out,6,209.44
Inference_6_5678.out,6,209.44
Inference_7_1234.out,7,209.559
Inference_7_2345.out,7,209.554
Inference_7_3456.out,7,209.488
Inference_7_4567.out,7,209.52
Inference_7_5678.out,7,209.551
Inference_8_1234.out,8,209.605
Inference_8_2345.out,8,209.605
Inference_8_3456.out,8,209.605
Inference_8_4567.out,8,209.605
Inference_8_5678.out,8,209.605
Inference_9_1234.out,9,209.711
Inference_9_2345.out,9,209.711
Inference_9_3456.out,9,209.711
Inference_9_4567.out,9,209.711
Inference_9_5678.out,9,209.711
