file,n_haps,BIC
Inference_10_1234.out,10,592.517
Inference_10_2345.out,10,592.517
Inference_10_3456.out,10,592.517
Inference_10_4567.out,10,599.049
Inference_10_5678.out,10,592.517
Inference_11_1234.out,11,594.922
Inference_11_2345.out,11,592.604
Inference_11_3456.out,11,592.604
Inference_11_4567.out,11,595.655
Inference_11_5678.out,11,592.604
Inference_12_1234.out,12,592.684
Inference_12_2345.out,12,599.217
Inference_12_3456.out,12,592.684
Inference_12_4567.out,12,592.684
Inference_12_5678.out,12,592.684
Inference_13_1234.out,13,605.891
Inference_13_2345.out,13,598.58
Inference_13_3456.out,13,606.99
Inference_13_4567.out,13,606.99
Inference_13_5678.out,13,605.891
Inference_14_1234.out,14,598.625
Inference_14_2345.out,14,598.649
Inference_14_3456.out,14,607.059
Inference_14_4567.out,14,592.827
Inference_14_5678.out,14,605.96
Inference_15_1234.out,15,606.026
Inference_15_2345.out,15,607.123
Inference_15_3456.out,15,598.715
Inference_15_4567.out,15,607.123
Inference_15_5678.out,15,606.024
Inference_16_1234.out,16,607.184
Inference_16_2345.out,16,607.184
Inference_16_3456.out,16,607.184
Inference_16_4567.out,16,606.085
Inference_16_5678.out,16,606.085
Inference_17_1234.out,17,607.241
Inference_17_2345.out,17,607.241
Inference_17_3456.out,17,607.241
Inference_17_4567.out,17,607.241
Inference_17_5678.out,17,607.241
Inference_18_1234.out,18,607.295
Inference_18_2345.out,18,607.295
Inference_18_3456.out,18,607.295
Inference_18_4567.out,18,607.295
Inference_18_5678.out,18,598.864
Inference_19_1234.out,19,607.346
Inference_19_2345.out,19,607.346
Inference_19_3456.out,19,607.346
Inference_19_4567.out,19,607.346
Inference_19_5678.out,19,607.346
Inference_20_1234.out,20,607.395
Inference_20_2345.out,20,607.395
Inference_20_3456.out,20,606.311
Inference_20_4567.out,20,607.395
Inference_20_5678.out,20,607.395
Inference_21_1234.out,21,607.442
Inference_21_2345.out,21,607.442
Inference_21_3456.out,21,607.442
Inference_21_4567.out,21,607.442
Inference_21_5678.out,21,607.442
Inference_22_1234.out,22,607.488
Inference_22_2345.out,22,607.489
Inference_22_3456.out,22,607.487
Inference_22_4567.out,22,607.487
Inference_22_5678.out,22,607.487
Inference_23_1234.out,23,607.53
Inference_23_2345.out,23,607.537
Inference_23_3456.out,23,607.53
Inference_23_4567.out,23,607.531
Inference_23_5678.out,23,607.529
Inference_24_1234.out,24,607.631
Inference_24_2345.out,24,607.586
Inference_24_3456.out,24,607.905
Inference_24_4567.out,24,607.604
Inference_24_5678.out,24,607.591
Inference_25_1234.out,25,610.972
Inference_25_2345.out,25,608.414
Inference_25_3456.out,25,609.516
Inference_25_4567.out,25,609.966
Inference_25_5678.out,25,608.626
Inference_26_1234.out,26,608.736
Inference_26_2345.out,26,613.712
Inference_26_3456.out,26,609.439
Inference_26_4567.out,26,615.933
Inference_26_5678.out,26,614.518
Inference_27_2345.out,27,642.168
Inference_27_3456.out,27,615.485
Inference_28_3456.out,28,703.946
Inference_4_1234.out,4,595.782
Inference_4_2345.out,4,595.782
Inference_4_3456.out,4,595.782
Inference_4_4567.out,4,595.782
Inference_4_5678.out,4,595.782
Inference_5_1234.out,5,591.911
Inference_5_2345.out,5,591.911
Inference_5_3456.out,5,591.911
Inference_5_4567.out,5,591.911
Inference_5_5678.out,5,591.911
Inference_6_1234.out,6,592.065
Inference_6_2345.out,6,592.065
Inference_6_3456.out,6,592.065
Inference_6_4567.out,6,592.065
Inference_6_5678.out,6,585.577
Inference_7_1234.out,7,585.71
Inference_7_2345.out,7,592.199
Inference_7_3456.out,7,592.199
Inference_7_4567.out,7,592.199
Inference_7_5678.out,7,592.199
Inference_8_1234.out,8,592.317
Inference_8_2345.out,8,592.317
Inference_8_3456.out,8,592.317
Inference_8_4567.out,8,592.317
Inference_8_5678.out,8,592.317
Inference_9_1234.out,9,592.422
Inference_9_2345.out,9,592.422
Inference_9_3456.out,9,592.422
Inference_9_4567.out,9,592.422
Inference_9_5678.out,9,592.422
